message_id,subject,body,category
<27072579.1075863335442.JavaMail.evans@thyme>,re interview result need clarification kiron canada ivey,kiron thank you for your note and again i appreciate your interest in career opportunity with enron a dawn ha described below we have made the decision to pursue other candidate for the position we have available in both our calgary and houston office i thank you for taking time to interview with enron and wish you the best of luck a you pursue other alternative regard billy lemmon,"Employment arrangements(job seeking, hiring, recommendations, etc)"
<31481056.1075845547731.JavaMail.evans@thyme>,analyst interview needed 21501,all the analyst and associate program recognize we have many analyst need that need to be addressed immediately while we anticipate many new analyst joining enron this summer late may and fulltime august we felt it necessary to address some of the immediate need with an offcycle recruiting event we are planning this event for thursday february and are inviting approximately candidate to be interviewed i am asking that you forward this note to any potential interviewer manager or above we will conduct first round interview in the morning and the second round interview in the afternoon we need for interviewer to commit either to the morning ampm or afternoon pmpm complete session please submit your response using the button below and update your calendar for this date in addition we will need the group that have current need to commit to taking one or more of these analyst should they be extended an offer thanks in advance for your cooperation thank you jana,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<6315150.1075857656386.JavaMail.evans@thyme>,re hjk,it one of those theoretically great trade but those dont always work still ill put it on and win time out of just so hard for the market to rally the backwardation is so weak can easily see h going under if no weather appears on am cc hjk wish i had let you buy all of themcash supriingly weak to me so i bailed on the postion lost about ctsnot a disaster but a disappointment flat px look like a pig here depite my not being overly bearish the fundamental we hold or they take it down more,Purely Personal
<20206928.1075840468754.JavaMail.evans@thyme>,re teh area wtg count pool,please note the response from mike below and ensure the moop accurately reflects the turbine count also we need to adjust the projection for gwh to reflect any change to the turbine count thanks hollis,"Company Business, Strategy, etc."
<28420203.1075861716059.JavaMail.evans@thyme>,trading track new participant rotation assgined,all the attached spreadsheet outline the rotation for the internal new hire to the trading track i will be meeting with the new tt aa tomorrow and subject to them signing all associated documentation they will join the track immediately let me know if you have any question with respect to the rotation outlined and we can make the appropriate change a we move forward thanks karen b x,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<31047404.1075843022156.JavaMail.evans@thyme>,florio response to ferguson,xsender xmailer qualcomm window eudora version fri nov bill marcus jim caldwell julian bill mike florio fwd wohin gehen wir i forgot to hit the reply to all button when i responded to rich fri nov rich ferguson mike florio wohin gehen wir cc eteam rich i like the idea but im not sure im a very good test case after all i have been branded a the last living defender of command and control regulation socialist central planning and everything else bad that youve ever thought of could the role of calpower be better filled by an existing forprofit company eg enron no way any private seller would have all the same conflict a the utility and then some but michael shame is interested in the idea of auctioning off all or part of the retail franchise in san diego since sdge doesnt seem to want to be in the business anymore i have been pushing a corenoncore distinction such a you suggest although i havent been bold enough to suggest a nonprofit procurement entity i did push this idea for pges gas procurement back in the bad old gas accord day but the idea got nowhere then what ive talked about is including the retained at least for now generation in the core portfolio along with some contract and some spot havent developed any number yet i would certainly encourage shopping the idea seller will probably hate it because this entity would have more market buying power than even the current udcs but so what thats what we want right id suggest running it by bill julian for a political straight face test but i would guess hed like it and it would be a perfect vehicle for rps which we would certainly like to revive let keep exploring this mike at pm you wrote folk i am growing increasingly worried about future public policy oversight of utility power purchase given the current conventional wisdom that more long term purchase should be made i have been promoting the notion that the default power portfolio should be maintained by a new nonprofit quasipublic entity with revenue guaranteed by the puc rather than by three separate iou subject or not to reasonableness review your comment on this notion are eagerly sought purchasing power for default customer the recently proposed ferc decision essentially put california back where it wa in there appears to be near universal agreement that the iou should enter into long term power purchase agreement and limit exposure to the spot market a you recall the brpu reached the same conclusion decided how much should be purchased held the auction etc and then ferc blew it up after deciding that the state avoided cost estimate were wrong ferc appears now to agree it made a mistake and essentially order u to start the process all over again however the proposed order make no mention of state oversight of utility purchase but at the briefing held last wednesday for bowen and legislative staff ferc staff made it clear that they were not mandating any alternative to replace the must sellbuy requirement that they were eliminating presumably the state could still mandate the iou buy in the px or whatever and still comply with the ferc order a long a the utility remain regulated by the puc the state can control their power purchase the problem is that after screwing around for ten year there is now enormous pressure to let the utility do what they will a result that i fear would be bad for consumer and bad for the environment on the other hand there no time nor stomach for repeating the brpu process my preferred solution is the establishment of a new not for profit utility that would make power portfolio decision for default customer let call it calpower the three existing regulated utility would no longer sell energy at retail calpower decision would be subject to whatever public policy condition the legislature andor the puc chose to impose however some kind expedited review process would allow calpower to be very nimble in the power market and recovery of their revenue requirement would be guaranteed direction of calpower could be by political appointee elected representative or some combination my fantasy is a governance structure similar to calpers in which broad legislative guideline are interpreted by a board of director and implemented by experienced trader compared to the present structure in which default portfolio are designed by three different forprofit utility calpower appears to have the following advantage the nonprofit structure eliminates all financial conflict of interest in portfolio design and ensures optimum implementation of public policy goal it ensures equitable treatment of all customer statewide with price difference reflecting market reality rather than differing purchase criterion by each utility it allows calpower to be a nimble in the market a any other commercial trader by allowing the puc or other state agency to participate in portfolio design issue upfront rather than requiring lengthy after the fact review calpowers disadvantage appears to be that it requires yet another new statechartered nonprofit organization politician appear intent on blaming the two they have already and returning to the old utilitycentric system rather than risk their neck by proposing solution that they then would be responsible for obviously there are many question and detail to be worked out which customer would be default customer my option would be to declare all customer under kw permanent default customer green or other marketer could participate through contract for difference but physical power would be acquired for all these customer by calpower customer kw would be on their own what is the relationship with the puc with the legislature could the role of calpower be better filled by an existing forprofit company eg enron how are the benefitscosts of existing utility generation asset and pp contract shared etc is this concept attractive enough to be worth pursuing the next step would be to get a group of interested party together to put some meat on these bone and float the idea seriously perhaps even get some draft legislation on paper to shop around interested let me know regard rich,"Company Business, Strategy, etc."
<23537880.1075852693996.JavaMail.evans@thyme>,re,piss off you should thank me ill call you later,Purely Personal
<17592996.1075857554985.JavaMail.evans@thyme>,re,i have a book you should readhow to raise a puppyby the monk of new skete these monk have perfected the art of raising a dogso they thinkbut the book is helpful im leaving at ish alma am jeffrey a cc awesome santa brought me a weimeraner he so cute he ha a silver coat with blue eye a he get older the eye will change to hazel i took him to the vet yesterday he wa not too happy about that he wa pretty upset with me i did find it hard leaving him home alone i wa thinking of taking the rest of the day off to see him do you have any tip,Personal but in professional context
<28201640.1075849630958.JavaMail.evans@thyme>,universalvivendi,jennifer due to the vivendi merger the universal deal ha taken on a whole new scope on a lead from jeff y i contacted kim monk dr corp alliance who report to nebergall kim wa interested in discussing this further and working on best leveraging bu strategy we are to catch up when she return to houston but this is what we discussed in our quick phone call today vivendi enron delivered an mou to vivendi kim may forward currently initiative including vivendi overall bandwidth colocation dark fiber pan european network cable havas viviendi subsidiary discussion with havas ceo for distance learning bandwidth asp and streaming initiative initiative in other subsidiary including canal plus digitel blockbuster due to restructuring of vivendiuniversal eb to work on blockbuster yearend phase i initiative first and then phase ii iii q next year cox speaking with universal in la a content and distribution partner although this is blockbuster obligation enron is also working a a third party to secure enronvivendi relationship vivendi see enron a both a competitor and partner depending upon the segment,"Company Business, Strategy, etc."
<17952105.1075857657235.JavaMail.evans@thyme>,remove,on pm please respond to cc direct your own xxx movie new new sex thing become director of your own movie for all those who love sex crazy idea and game we have thought up something new for you every day you can pick from our range of over thirty model which are changed every month and become a screenwriter and director of your own film like the idea so why not take part all you have to do is write a twominute film script choose your cast combination of up to six people regardless of sex and send it off to u within day we will send you the completed film it sound so promising and easy and it really is after paying a membership fee we will be ready at your beck and call to act out your screenplay you can combine your model any way you want they are all bisexual and do anything including extreme sm film are delivered electronically you will recieve email with link to download the movie sample of the script are in free section on our page wwwxmoviedirectorcom you can see the movie and compare with the script there are other free video every week new five small video and gallery with spictures visit u at our website wwwxmoviedirectorcom to discontinue receipt of further notice and to be removed from our databas e please reply with the word remove in subject or call u at leave yo ur email address for removal from the database and future mailing any attempt to disrupt the removal email address etc will not allow u to be able to retrieve an d process the remove request,Purely Personal
<24956351.1075857731725.JavaMail.evans@thyme>,financial settlement,everyone i know everyone ha been awaiting this email i just moved my family to tokyo on monday and let put it this way the last hour have been a bit hectic please let me know if you have any question anthony,Personal but in professional context
<20489057.1075852723159.JavaMail.evans@thyme>,re,elpaso same thing want to trade option,Purely Personal
<17724854.1075861927102.JavaMail.evans@thyme>,re master netting agreement assignment,please add calpine,"Company Business, Strategy, etc."
<25093076.1075842115797.JavaMail.evans@thyme>,cancellation of weather deal,paul henry on the weather desk informed me that they have agreed with one of our counterparties to terminate a deal ive asked for a copy of the confirm could one of you please email to me this morning a form of dela termination letter that we can send to the counterparty thanks carol,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<1752726.1075857590894.JavaMail.evans@thyme>,re,you didnt realize i wa such a fucking bigshot did ya check out the sep fortune page for more of the mojo andrew thomas on pm cc you cant turn away for a minute or you get picked off damn im minding my own business sitting on the dooker reading time and sure enough i get picked off sheeeeeeeeeet friggin celebrity can i have your autograph nice work dood fella i believe the new job is almost herei wa told yesterday that i got the job and am just waiting for the phone offer supposed to happen this afternoon if it come through ill be covering the internetshould be pretty solid who know if enrononline get spun off obv not gon na happen i might even get to cover it what a mock anyway thought id drop you two a line hope thing are going well cant wait for football lem me know when you boy come back out here andy,Personal but in professional context
<33062079.1075842118785.JavaMail.evans@thyme>,eta amendment letter,john please disregard my earlier fax here is a draft of the eta amendment letter carol st clair,Document editing/checking(collaboration)
<8051812.1075863334870.JavaMail.evans@thyme>,ena aa,johnlouise a of now i will also be working on the general aa pool for ena a well a working with you on the trading and orig track i just got the number from the aa program on the ena participation on the forthcoming aa fantastic fridaysuper saturday interview date a you can see enas participation is very low pretty dismal the debrief session basically allows interviewer to select the candidate to their group there and then so ena ha to be there oct ha only ena interviewer all the remaining interviewer are ee and eim i know ee are stacking quite heavy on the aa side therefore i will shortly be emailing your direct report to solicit their and their direct report participation in these interview it would be helpful if this could be reinforced by you many thanks karen,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<13840993.1075845533324.JavaMail.evans@thyme>,re associate analyst placement,john following are the placement that are confirmed those on your list that are not confirmed were placed previously in other unit it is my understanding that these individual will see other area for their development ie origination structuring andor transaction if you have any question please feel free to call x gas associate dustin collins vikas dwivedi li sun analyst nate blackburn sachin gandhi miguel nasser power associate doug seaworth eduardo gil pearce hammond david maskel michael kelly analyst possey martinez gary justice,"Employment arrangements(job seeking, hiring, recommendations, etc)"
<19969381.1075857586576.JavaMail.evans@thyme>,re resume,alan i received your email ill make sure it go through the proper channel it may help if you give specific position that interest you most a enron is such a big place it will help focus the resume to the right people john,"Employment arrangements(job seeking, hiring, recommendations, etc)"
<24802247.1075859989224.JavaMail.evans@thyme>,re emission website text,thanks for the copy i have already forwarded my comment and proposed change to you via messenger this morning subject those forwarded change it look fine to me david forster am mark harry m cc jay mario parra emission website text markharry attached is a copy of the website text please review and approve or suggest change we would like to be able to start uploading this information later today if possible thanks dave,"Company Business, Strategy, etc."
<24697301.1075857668478.JavaMail.evans@thyme>,amazoncom weekly movie showtime email,amazoncom weekly movie showtime,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<21161193.1075844525750.JavaMail.evans@thyme>,ba deal report,please check master section for change s,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<21831506.1075845531466.JavaMail.evans@thyme>,kim hillis,dave im thinking of hiring kim hillis i would like your opinion lavo,"Employment arrangements(job seeking, hiring, recommendations, etc)"
<14254889.1075847024096.JavaMail.evans@thyme>,hydro quebecenron matter,attached are our redlined comment and open item list with respect to the master isda it is my understanding we will discus also the guaranty and opinion matter tomorrow thank you mary enron north america corp mary cook smith th floor legal houston texas phone fax,Document editing/checking(collaboration)
<6903342.1075845537168.JavaMail.evans@thyme>,re,what have you been smoking,Purely Personal
<16499898.1075852726407.JavaMail.evans@thyme>,re,louise ha no problem a long a approved by legal and credit,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<20546593.1075857756877.JavaMail.evans@thyme>,re tom may,your killing me lavo im going to start calling you delainey,Purely Personal
<2344300.1075857635881.JavaMail.evans@thyme>,re fw rick buy report tomorrowyour comment needed,we ahave not initiated a gas product yet but are creating the capability to launch at some point in the near future frank on am geoff john cc fw rick buy report tomorrowyour comment needed i received this email and they are inquiring a to the new gas electronic trading ha this taken off who is managing it and are there any position associated with it thanks frank,"Employment arrangements(job seeking, hiring, recommendations, etc)"
<19044129.1075842111336.JavaMail.evans@thyme>,confidentiality agreement,paul i have spoken with dave kistler about the form of ca that you sent to him what we prefer to do is to use the form that wa agreed to a year ago a copy of which i have attached we can either do a new ca based on this form or since this ca doe not expire for another year do a side letter that provides that the term project a used in this ca mean both the project that is currently described and the new project that we are about to engagae in with you please let me know your preference my number is carol,Document editing/checking(collaboration)
<14744324.1075857588543.JavaMail.evans@thyme>,re,i wa long x then i switched it from x to f at the same price i switched it at but it put me into the f at a price basis of sorry for the confusion enron north america corp kevin m presto am john cc my book indicates you have f jan at,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<25289751.1075860816172.JavaMail.evans@thyme>,demand ken lay donate proceeds from enron stock sale,janice cragnolin lowell rd rome ny to mr ken lay im writing to urge you to donate the million of dollar you made from selling enron stock before the company declared bankruptcy to fund such a enron employee transition fund and reach that benefit the company employee who lost their retirement saving and provide relief to lowincome consumer in california who cant afford to pay their energy bill enron and you made million out of the pocketbook of california consumer and from the effort of your employee indeed while you netted well over a million many of enrons employee were financially devastated when the company declared bankruptcy and their retirement plan were wiped out and enron made an astronomical profit during the california energy crisis last year a a result there are thousand of consumer who are unable to pay their basic energy bill and the largest utility in the state is bankrupt the new york time reported that you sold million worth of enron stock while aggressively urging the company employee to keep buying it please donate this money to the fund set up to help repair the life of those american hurt by enrons underhanded dealing sincerely janice cragnolin,Purely Personal
<12100104.1075855718745.JavaMail.evans@thyme>,,steve i am sending you a variety of chart with price and operational detail if you need to call with question my home number is a far a recommendation here is a short list examine ldcs incentive rate program current methodology reward sale above monthly index without enough consideration of future replacement cost the result is that the ldcs sell gas that should be injected into storage when daily price run above the monthly index this creates a shortage in later month california ha the storage capacity and pipeline capacity to meet demand investigate why it wasnt maximized operationally specific question should include why in march may werent total system receipt higher in order to fill storage why are there so many example of ofo on weekend that push away too much gas from socals system i believe socal gas doe an extremely poor job of forecasting their own demand they repeatedly estimated they would receive more gas than their injection capablity but injected far le similar to the power market there is too much benchmarking to short term price not enough forward hedging is done by the major ldcs by design the customer are short at a floating rate this market ha been long historically it ha been a buyer market and the consumer ha benefitted call me if you need any more input phillip,"Company Business, Strategy, etc."
<30280510.1075857595699.JavaMail.evans@thyme>,re,the el orbit eh ive heard of them but dont remember who they are there is a chance ive seen them at satellite i guess my you are nosey i have a little date tonight wan na come along margaret on am john cc hum a much a i would love to be insulted by you for several hour straight tomorrow night i have plansactually it an enron thing a bunch of people are going to the continental club to hear the el orbit which happens to be my favorite band you should come what are your plan tonight since im being nosey trade them up johnny margarita john am margaret cc deathly afraid doesnt even come close to describing it busy tonight how bout tomorrow margaret on pm john cc okay since you are deathly afraid of being nice to me now about we go to grab a beer or dinner tomorrow night doe that work for you,Personal but in professional context
<17305719.1075844012388.JavaMail.evans@thyme>,lng team update,fyi mat,"Company Business, Strategy, etc."
<18343796.1075857672712.JavaMail.evans@thyme>,how to make 600 mm this month,john i think that diversification here is key provided that the correlation between power and gas or between different region is le than which is almost always the case simply spreading the investment over other commoditiesregions will increase portfolio return ie same nominal pl le volatility more specifically i would suggest the following ratchet up west bet i think that tim is playing defense a of late mm pl this month v mm in the last four month yet he is one of the best trader and ha the highest return on var for the past couple of year q palo at look cheap a compared to midc at q price in the s look cheap a well i will get more specific strategy on friday after my return from portland cash trading spot price in the west were up today east desk ha taken risk down in the last few day after making mm this month alone they need to reassess where they stand today and act appropriately some idea are long ny power i would ass getting long seserc this summer at price below ng desk ne long ny and florida in anticipation of tight power and transmissiontransportation constraint this summer what is tom martin secret consistently high return on var and consistently positive pl can it be replicated on other desk sa get long power in brazil by all mean close the petrobras deal any other prospect in general i would challenge every region head to come up and describe profitable strategy other than nymex based on their expertise fundamental weather etc other wild idea buy aluminum and steel since a lot of smelter have been closed because of high electricity price aluminum and steel should get expensive i am in vega the weekend of july th vlady,"Company Business, Strategy, etc."
<16965589.1075845551635.JavaMail.evans@thyme>,re alfred sorensen,i dont know him that well however i dont think he is a superstar rob milnthorp in calgary might have a better read,Personal but in professional context
<22143205.1075857691147.JavaMail.evans@thyme>,re asset marketing,how many group doe don have,"Company Business, Strategy, etc."
<11758033.1075852711407.JavaMail.evans@thyme>,re,how about we celebrate the near completion of your deal and have tickleless pay for it kim on pm john cc re push the summer down about so i can get one of my deal done and we could celebrate,"Company Business, Strategy, etc."
<25942658.1075857605596.JavaMail.evans@thyme>,re please respond,no on am cc please respond carr is hosting an enymex presentation at our office in new york this monday may th from pm we are double checking our head count to make sure that we will be ready for the people attending the presentation if you would please reply to this email with a yes or a no to indicate your intention of attending this enymex presentation thank you carr future s wacker dr suite chicago il usa tel fax httpwwwcarrfutcom,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<6193957.1075852699423.JavaMail.evans@thyme>,re market,john thank you what do you mean by storage adjusted price and also comment on nondiscretionary stg at peak time why in producing region,"Company Business, Strategy, etc."
<6237717.1075857672180.JavaMail.evans@thyme>,re formosa 125 million,i am told that this money should come this week,"Payroll, finance, accounting etc."
<19615543.1075857587828.JavaMail.evans@thyme>,re hi,so what is it and by the way dont start with the excuse youre expected to be a full gourmet cook kiss not music make cooking a more enjoyable experience jennifer white on pm cc hi i told you i have a long email address ive decided what to prepare for dinner tomorrow i hope you arent expecting anything extravagant because my culinary skill havent been put to use in a while my only request is that your stereo work music make cooking a more enjoyable experience watch the debate if you are home tonight i want a report tomorrow jen ___________________________________________________________________ to get your own free zdnet onebox free voicemail email and fax all in one place sign up today at httpwwwzdnetoneboxcom,Purely Personal
<16634197.1075842204278.JavaMail.evans@thyme>,engage energy america llc enron power marketing inc eei master,carol this is the last correspondence i show with engage on behalf of janice other than guaranty correspondence and i cant even find these attachment in her directory paul radous wa under the assumption this wa executed he is calling george wood to see if woody ha spoken with them paul said this is of utmost priority and i will put janices file in your inbox thanks for your help genia,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<6994262.1075861713652.JavaMail.evans@thyme>,up to 60 off flight this holiday season,image image image image image image go to amazoncom travel or search amazoncom expedia special rate esr hotel room or vacation rental purchase can be made only through the expediacom u web site qualifying stay include a minimum purchase of one night at any esr hotel or vacation rental if a customer find a lower rate on another web site within hour of p urchase expedia will refund the difference the customer should call cust omer support at expedia to request a refund sample vacation packa ge are based on per person double occupancy price vary based on date availability and departure city sample la vega hotel rate are based on weekday price for select hotel on sale from november through decem ber unless otherwise noted all price quoted are in u dollar s price and date subject to change we hope you enjoyed receiving this message however if youd rather not receive future email of this sort from amazoncom please visit your amazoncom account page in the pers onal information box under the account setting heading click the updat e your communication preference link please note that this message wa sent to the following email addressla,Purely Personal
<14263320.1075842132531.JavaMail.evans@thyme>,status memo,here is my updated status memo carol st clair eb phone fax,"Company Business, Strategy, etc."
<14786216.1075842107267.JavaMail.evans@thyme>,re looking for a nanny,i wish i knew of someone for you ill keep my ear open how are you doing our baby is due we are all very excited although it will be interesting to see how month old emma reacts look like we might be ship passing in the night with my leaving and your returning but i hope to see you soon leslie carol st clair am julia leslie elizabeth mary janet h christi l cynthia harknessenron communication kristina mordauntenron communication ann shonnie lisa cc looking for a nanny i need to start thinking about hiring a nanny to take care of charles our month old and arthur our year old we are looking for someone that can come to our house during the week a we do not have room for a livein we live off of west about mile from downtown we would prefer someone that is legal and speaks english but wont rule out anyone else if you know of someone that might be interested please call or email me while i would prefer not to use an agency if you know of a good one please let me know please pas this message on to anyone else at enron that you think might be able to help thanks carol st clair,"Employment arrangements(job seeking, hiring, recommendations, etc)"
<31284059.1075861673829.JavaMail.evans@thyme>,re cheer up,i wa just thinking i should invite you to come over tonight wan na come,Purely Personal
<25905880.1075861669083.JavaMail.evans@thyme>,re first call associate contact information,john you suggested that i contact you today to see if you would have an interest in talking about our retained client interest in you are you ready adrian,Personal but in professional context
<22279761.1075849630329.JavaMail.evans@thyme>,dell order confirmation,dear jennifer s medcalf thank you for your order we are currently reviewing for completeness and accuracy a separate email with your dell order number will be sent to you after the order is processed a recap of your order is provided at the end of this message for your reference we encourage you to verify print and retain the information on this page for your record date submitted am if at any time you have question regarding your order please contact your dell sale representative name epp sale email phone again thank you for your order we appreciate you buying from dell and using your dell premier page service sincerely dell premier page service shopping cart includes unique item total price item detail dell inspiron notebookintel celeron processor mhz svga display memory mb sdram dimm color choicepointing option tahoe blue dual pointing keyboard primary hard drive gb ultra ata hard drive floppy drive removable modular floppy drive operating system software microsoft window network adapter xircom cardbus ethernet ii pc card analog modem internal modem v k modem optical device modular x max cdrom bundled software microsoftc office small business edition wbookshelf norton antivirus norton antivirus primary battery intelligent lithiumion battery with expresscharge carrying case nylon carrying casedual compartment hardware support service yr part labor next business day international completecare software and peripheral program management service single item cost quantity subtotal for item ___________________ end of order,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<10828556.1075857635619.JavaMail.evans@thyme>,re power gen,wow what a week so far beauty of a short squeeze early on even some of the biggest bear i know were covering to reestablish when the market lost it upward momentum unfortunately my boat is too big to play that way take too long to put the size of the position i manage on or off to play that game just had to sit back and take my lump couldnt have been a more bearish aga in my opinion got one more decent one and then watch out below amazing that weve had more demand destruction recently the economy is the pound gorilla that is sitting on nat gas and it aint getting up,Personal but in professional context
<18787583.1075857704530.JavaMail.evans@thyme>,market data project update,attached is the spreadsheet with exchange detail by individual it a big spreadsheet you should go to the tab detailed sheet with exchange fee,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<608804.1075856486851.JavaMail.evans@thyme>,re recruiting at carnegiemellon,john i havent received the invitation yet to the sep th meeting i shall contact you thursday regarding the cmu presentation vince john b pm vince j cc recruiting at carnegiemellon vince i understand that you are the lead recruiter for cmu a you know i am the only alum from that school in enrons associate program i assume i will be joining you for our corporate presentation on at am please let me know what i can do to help prepare for this event enron and gsia are a great fit so i want this recruiting effort to go well are you also giving a talklecture to the computational finance student if so what time maybe we can schedule a lunch with duane seppi i look forward to hearing from you john gordon,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<22770742.1075842203904.JavaMail.evans@thyme>,experienced senior attorney can you help,m st clair i am the managing partner of thelinkpartners an executive search firm based in austin texas wwwthelinkpartnerscom we are currently searching for several experienced attorney for a profitable multibillion dollar energy company headquartered in texas i have taken the liberty of contacting you in the hope that you might be able to suggest someonewho on first blush seems to fit the profilesour client is seeking these position include senior counsel reporting to the associate general counselresponsible for the review and drafting of gas purchase sale transportation and processing of liquid purchasesales agreement general transactional work and regulatory work for a large midstream company a broad background and experience with pipeline utility rate railroad commission activity regulatory filing and ferc a experience in the midstream sector is required senior counsel with at least year experience representing interstate pipeline or practicing in the ferc natural gas area attorneysenior counsel supporting the lng business unit responsible for gas supply negotiation contracting acquisition of lng ship andor charter construction contracting downstream marketing arrangement and general ma work attorneycounsel to support the refining and marketing business including both domestic and international acquisition divestiture counsel experienced in environmental law pertaining to operation of natural gas pipeline petroleum refinery andor gas exploration and production activity i would be happy to provide more detailed information for any qualified individual you can recommendif you can suggest someone please contact me at extension or at regard becky gate managing partner thelinkpartners x,"Employment arrangements(job seeking, hiring, recommendations, etc)"
<29619849.1075857607693.JavaMail.evans@thyme>,re guggenheimenron event may 24th,planning on going which night are you inviting guy for also heard there were some issue about contract negotiation dont know specific but if you want to discus give me a call might be able to mediate this a little bit if you want caroline pm john mike cc guggenheimenron event may th i think you guy need to attend,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<3178741.1075852726671.JavaMail.evans@thyme>,re what are u up to later,ill be drinking either at front porch or little woodrows,Purely Personal
<6281370.1075855215732.JavaMail.evans@thyme>,thank you a letter from bruce arena and april heinrichs,dear u soccer family a another year come to a close we wanted to thank each and every one of you for your support the last month have been extremely successful for both our senior national team and our youth national team and promise to be exciting on all front the u men national team qualified for our fourth straight world cup setting the stage for an exciting tournament while the u woman took their first step toward the woman world cup by building on the successful launch of the wusa this past summer in the year ahead our men will be focused on the koreajapan world cup where we will square off against portugal south korea and poland in june we are confident that with your support and the right preparation we will have a successful tournament for the u woman our goal are no le tangible with preparation for the woman world cup qualifying becoming the focus of our activity for our youth national team we saw our u and u men team qualify for fifas biannual world youth championship in those age bracket in our under woman national team will have the opportunity to compete in the first ever fifa woman world youth championship with qualifying scheduled for may in trinidad tobago and the actual tournament set for canada in august this is real progress for the development of the woman game and we expect our team to successfully qualify and then compete for the title of this firstever event in all of the world championship we have the opportunity to measure ourselves against the best team in the world and that help to motivate our athlete but it is the support we receive from our u soccer family and fan that inspires our player again thank you for your support throughout the year and into the future we look forward to a successful sincerely bruce arena april heinrichs head coach technical director head coach technical director u men national team u woman national team to end your membership in ussoccerfancom please visit httpmembershipussoccercommemberunsubscribespsmsmid and fill out an unsubscribe request thank you for supporting u soccer,Purely Personal
<30295736.1075862274981.JavaMail.evans@thyme>,re producer requesting lcs,agreed by the way we are very close to a deal and therefore a press release shortly thereafter,"Company Business, Strategy, etc."
<13743055.1075857606929.JavaMail.evans@thyme>,re need help with your bill this month swbij,fuck you on am please respond to cc need help with your bill this month swbij are you behind in bill late on a payment let u help you get out of debt now if you are interested we invite you to request free information at the end of this form what we can do to help you stop harrassment by creditor reduce your principal balance up to consolidate your debt into one low monthly payment improve your credit rating lower your monthly payment by thing to keep in mind there is no need to own property there is no need to own any equity this is not a loan this is a program that ha helped thousand just like you if you are interested we invite you to read our free information please provide the following information full name address city state zip code home phone work phone best time to call email address estimated debt size all information is kept securely and never provided to any third party source to unsubscribe please hit reply and send a message with remove in the subject this request is totally risk free no obligation or cost are incurred,"Payroll, finance, accounting etc."
<22739527.1075857634230.JavaMail.evans@thyme>,re pay all bill with just 1 monthly payment y5i64,fuck you on am please respond to cc pay all bill with just monthly payment yi got debt we can help using debt consolidation if you owe usd or more consolidate your debt into just payment and let u handle the rest wouldnt it be nice to have to worry about just fee instead of half a dozen we think so too you do not have to own a home you do not need another loan no credit check required approval within business day available to all u citizen for a free no obligation consultation please fill out the form below and return it to u paying bill should not be a chore and your life should be a easy and simple a possible so take advantage of this great offer all field are required full name address city state zip code home phone work phone best time to call email address estimated debt size thank you to receive no further offer from our company regarding this matter or any other matter please reply to this email with the word remove in the subject line,"Payroll, finance, accounting etc."
<7223533.1075857752710.JavaMail.evans@thyme>,var,natural gas risk management request and increase to million from million to increase our gas fixed price position long until tuesday morning august th thanks john,"Company Business, Strategy, etc."
<25685385.1075857639646.JavaMail.evans@thyme>,re diff topic,probably not it would have to have a lot of upside never hurt to listen though on am cc diff topic i wa in ny fridayhad an interesting conversation with a company would there ver be a cirmcumstanbce in which you would consider leaving your currant situation dont have to say on this and this is purely preliminary but you came to mind just a yes or no at this stage would do ill let you more later on phone,Purely Personal
<20916129.1075842114656.JavaMail.evans@thyme>,misc,lucy i heard back from mark and he seemed receptive to our suggestion to consider you for the legal asst position sounded like he wnted to think about it over the weekend ill keep you posted carol,"Employment arrangements(job seeking, hiring, recommendations, etc)"
<12119370.1075857746047.JavaMail.evans@thyme>,re financial settlement,anthony thanks for the email however that wa the last thing that i received i think some credit intermediation would be helpful,"Payroll, finance, accounting etc."
